Symbol,Company_Name,Yahoo_Symbol
20MICRONS,20 Microns Limited,20MICRONS.NS
21STCENMGM,21st Century Management Services Limited,21STCENMGM.NS
3IINFOTECH,3i Infotech Limited,3IINFOTECH.NS
3MINDIA,3M India Limited,3MINDIA.NS
3PLAND,3P Land Holdings Limited,3PLAND.NS
5PAISA,5Paisa Capital Limited,5PAISA.NS
63MOONS,63 moons technologies limited,63MOONS.NS
A2ZINFRA,A2Z Infra Engineering Limited,A2ZINFRA.NS
AARTIDRUGS,Aarti Drugs Limited,AARTIDRUGS.NS
AARTIIND,Aarti Industries Limited,AARTIIND.NS
AARVEEDEN,Aarvee Denims & Exports Limited,AARVEEDEN.NS
AAVAS,Aavas Financiers Limited,AAVAS.NS
ABAN,Aban Offshore Limited,ABAN.NS
ABB,ABB India Limited,ABB.NS
ABBOTINDIA,Abbott India Limited,ABBOTINDIA.NS
ABCAPITAL,Aditya Birla Capital Limited,ABCAPITAL.NS
ABFRL,Aditya Birla Fashion and Retail Limited,ABFRL.NS
ABMINTLTD,ABM International Limited,ABMINTLTD.NS
ACC,ACC Limited,ACC.NS
ACCELYA,Accelya Solutions India Limited,ACCELYA.NS
ACE,Action Construction Equipment Limited,ACE.NS
ADANIENT,Adani Enterprises Limited,ADANIENT.NS
ADANIGAS,Adani Gas Limited,ADANIGAS.NS
ADANIGREEN,Adani Green Energy Limited,ADANIGREEN.NS
ADANIPORTS,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS
ADANIPOWER,Adani Power Limited,ADANIPOWER.NS
ADANITRANS,Adani Transmission Limited,ADANITRANS.NS
ADFFOODS,ADF Foods Limited,ADFFOODS.NS
ADHUNIKIND,Adhunik Industries Limited,ADHUNIKIND.NS
ADLABS,Adlabs Entertainment Limited,ADLABS.NS
ADORWELD,Ador Welding Limited,ADORWELD.NS
ADROITINFO,Adroit Infotech Limited,ADROITINFO.NS
ADSL,Allied Digital Services Limited,ADSL.NS
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS
ADVENZYMES,Advanced Enzyme Technologies Limited,ADVENZYMES.NS
AEGISCHEM,Aegis Logistics Limited,AEGISCHEM.NS
AFFLE,Affle (India) Limited,AFFLE.NS
AGARIND,Agarwal Industrial Corporation Limited,AGARIND.NS
AGCNET,AGC Networks Limited,AGCNET.NS
AGRITECH,Agri-Tech (India) Limited,AGRITECH.NS
AGROPHOS,Agro Phos India Limited,AGROPHOS.NS
AHLEAST,Asian Hotels (East) Limited,AHLEAST.NS
