"Date","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)","bank_name"
2018-12-31,2137,2137,2116.7,2121.85,2121.7,1466632,31156.38,"HDFC"
2018-12-28,2117.35,2137.75,2115.5,2124,2122.9,2353903,50019.99,"HDFC"
2018-12-27,2133,2138.2,2098.45,2107,2105.05,2909967,61564.62,"HDFC"
2018-12-26,2077,2127,2069,2124.8,2122.35,1900479,39783.77,"HDFC"
2018-12-24,2104,2104,2077.35,2083,2080.65,1400372,29246.76,"HDFC"
2018-12-21,2134,2149.1,2109.05,2111.15,2111.15,2555077,54336.1,"HDFC"
2018-12-20,2112.55,2140.45,2102.65,2138,2137.45,1995119,42290.75,"HDFC"
2018-12-19,2133.1,2159.4,2113.55,2123,2123.45,2252474,47959.95,"HDFC"
2018-12-18,2124,2139,2102.6,2138.1,2135.45,1853492,39301.79,"HDFC"
2018-12-17,2104,2132.6,2099,2128.5,2130.2,2109331,44728.91,"HDFC"
2018-12-14,2104.9,2118,2088.05,2095.1,2095.7,1539571,32336.51,"HDFC"
2018-12-13,2095,2125,2091.3,2100,2101.3,1766059,37193.35,"HDFC"
2018-12-12,2066.95,2089.8,2060.1,2084.6,2085.3,2842622,59081.47,"HDFC"
2018-12-11,2056,2071.3,2032,2056.15,2059.55,4726445,96961.5,"HDFC"
2018-12-10,2065.9,2104.8,2065.9,2084.5,2088.75,2728764,56936.8,"HDFC"
2018-12-07,2106.7,2118,2080.3,2115,2107.6,2475980,51978.72,"HDFC"
2018-12-06,2089.7,2101.65,2085,2096.8,2097.05,2932563,61371.16,"HDFC"
2018-12-05,2078,2105.3,2075.95,2103,2099.2,2949711,61800.6,"HDFC"
2018-12-04,2105.4,2111,2078.6,2086.9,2085.55,2039355,42577.81,"HDFC"
2018-12-03,2131,2142,2106.9,2111.5,2113.3,2699964,57366.87,"HDFC"
2018-11-30,2130,2137.55,2110,2120.45,2128.45,3260231,69235.45,"HDFC"
2018-11-29,2101,2137.4,2094,2132.25,2131.05,7977159,168778.3,"HDFC"
2018-11-28,2065,2098.6,2060.1,2091,2089.25,3255277,67937.87,"HDFC"
2018-11-27,2041.05,2067.9,2040.75,2064,2064,3223860,66302.38,"HDFC"
2018-11-26,2013.9,2052,2012.05,2050,2049.8,4546109,92740.6,"HDFC"
2018-11-22,2013.25,2035,2000.15,2006.25,2005.5,3243638,65621.06,"HDFC"
2018-11-21,2012.75,2023.95,2004,2019.45,2018.75,1636401,32975.57,"HDFC"
2018-11-20,2013,2019.6,1999.05,2012.75,2012.45,1426292,28691.07,"HDFC"
2018-11-19,2011,2021,2001.9,2016.1,2013.9,3071607,61882.64,"HDFC"
2018-11-16,1981,2013,1980,2002.8,2004.3,3953304,79153.27,"HDFC"
2018-11-15,1961.9,1977.3,1931.2,1973.1,1975.15,2598131,51183.69,"HDFC"
2018-11-14,1938.55,1960,1936.6,1959.9,1957.75,6527659,127011.84,"HDFC"
2018-11-13,1919,1937.7,1908.2,1929.55,1927.75,3337605,64167.15,"HDFC"
2018-11-12,1951.5,1962,1917.15,1920.85,1921.05,1976941,38272.91,"HDFC"
2018-11-09,1958.2,1959.9,1936.3,1943.3,1945.4,2525405,49229.45,"HDFC"
2018-11-07,1961,1964.95,1950,1960,1957.95,239690,4691.13,"HDFC"
2018-11-06,1955,1976,1942.95,1948.3,1946.55,2121397,41660.9,"HDFC"
2018-11-05,1949.9,1959.65,1938,1959.6,1956,1426324,27801.61,"HDFC"
