"Date","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)","bank_name"
2018-12-31,362.8,363.5,359.5,360.8,360.15,7314108,26416.01,"ICICI"
2018-12-28,358.3,362.8,358.3,360.55,360.75,13004606,46944.55,"ICICI"
2018-12-27,359.5,360.75,354.9,355.25,355.65,10122458,36201.44,"ICICI"
2018-12-26,350.65,356.9,348.15,356.45,355.85,8695108,30647.67,"ICICI"
2018-12-24,353.4,357.1,351.5,352.45,352.75,9025217,31960.92,"ICICI"
2018-12-21,361,363.5,352,355.05,354.2,13555416,48282.01,"ICICI"
2018-12-20,363.05,365.5,361.15,362.8,362.15,12109613,44008.41,"ICICI"
2018-12-19,363,369.25,361,366.85,366.5,19442031,71161.02,"ICICI"
2018-12-18,356.75,362.9,354.6,362.5,362.25,15405953,55233.1,"ICICI"
2018-12-17,352.3,360.5,352.3,358.5,358.45,18378122,65907.11,"ICICI"
2018-12-14,349.2,354.05,349.15,351,351.9,12104234,42633.13,"ICICI"
2018-12-13,352.9,354.2,347.6,349.55,349.55,19129928,67199.06,"ICICI"
2018-12-12,342.8,351.7,339.4,349.15,349.95,24740214,85976.24,"ICICI"
2018-12-11,337.4,345,336,342.6,342.8,36885929,125721.34,"ICICI"
2018-12-10,346.5,349.45,344.25,346.25,346.35,14107881,48938.73,"ICICI"
2018-12-07,349.6,353,345.3,351.3,352.2,14979672,52361.29,"ICICI"
2018-12-06,348.2,349.95,343.35,348,347.65,17784829,61663.24,"ICICI"
2018-12-05,355.3,356.35,350.45,351.25,351.4,12068267,42613.96,"ICICI"
2018-12-04,353.3,359.1,353.3,357.75,357.95,18651442,66575.06,"ICICI"
2018-12-03,358.9,358.9,352.1,355.5,355.5,23427270,83117.1,"ICICI"
2018-11-30,365,365,353.8,355.25,355.15,21893877,78377.7,"ICICI"
2018-11-29,363,366.4,360.2,362.2,362.2,38692771,140404.32,"ICICI"
2018-11-28,356.95,361.55,353.25,357.55,359,18163000,64703.49,"ICICI"
2018-11-27,355.75,356.1,351.6,353.35,354.65,17933339,63477.4,"ICICI"
2018-11-26,354.75,357.85,350.7,356,356.35,20673027,73331.5,"ICICI"
2018-11-22,357.65,358.5,351,351.9,352.05,12547369,44487.17,"ICICI"
2018-11-21,356.35,360.3,353.05,356.8,356.75,29323882,104608.1,"ICICI"
2018-11-20,362,365.45,354.6,357.15,357.9,19591217,70348.77,"ICICI"
2018-11-19,368.3,370.7,360.75,363.5,362.4,16002154,58195.31,"ICICI"
2018-11-16,370.1,375.3,365.55,366.95,367.55,29972926,110955.08,"ICICI"
2018-11-15,366.1,374.9,362.1,369.75,370,21967798,81149.27,"ICICI"
2018-11-14,365,369.9,361.3,366.3,366.6,31774158,116236.77,"ICICI"
2018-11-13,347.8,361.95,347.8,361.4,360.9,17684864,62941.16,"ICICI"
2018-11-12,356,358.2,351.5,352.75,352.35,10642857,37721.26,"ICICI"
2018-11-09,356.9,358.1,352.4,357.1,356.85,15130936,53779.75,"ICICI"
2018-11-07,356.75,357,354.55,355.9,355.9,2074764,7381.96,"ICICI"
2018-11-06,348.7,358.3,347.65,353.1,353.1,21349153,75325.7,"ICICI"
2018-11-05,351,351.85,348,349,349.65,22873951,80054.73,"ICICI"
2018-11-02,354,357.8,351.7,354.6,354.45,26714413,94888.61,"ICICI"
2018-11-01,357,358.45,351.1,353.85,353.7,22157128,78542.79,"ICICI"
2018-10-31,345.5,356.55,342.3,353.4,355,31233009,109111.64,"ICICI"
2018-10-30,347.45,353.85,342.9,346,345.7,34460428,119946.71,"ICICI"
2018-10-29,329,352.95,328.3,351.45,349.4,80069836,273401.7,"ICICI"
2018-10-26,319.8,323.4,313,314.3,315.65,22952163,73087.75,"ICICI"
2018-10-25,318.5,322.05,311.8,319.45,319.95,26920180,85536.38,"ICICI"
2018-10-24,328.75,330,316.25,321.95,322,33104174,107278.78,"ICICI"
2018-10-23,323,328.6,318.35,324.9,322.85,21509920,69578.97,"ICICI"
2018-10-22,320.2,329.85,316.1,328.2,327.1,33593953,109256.33,"ICICI"
2018-10-19,312.85,321.5,310.2,315.95,315.45,18322589,58014.28,"ICICI"
2018-10-17,325.1,328.15,311.65,316,314.8,20203287,65032.71,"ICICI"
2018-10-16,313.75,322.95,313.75,320.25,320.65,18042549,57749.1,"ICICI"
2018-10-15,316.9,317.9,309.55,312.95,313.35,23756416,74423.11,"ICICI"
2018-10-12,313.85,324.25,313.6,318.5,319.4,25930022,83002.53,"ICICI"
2018-10-11,310,315.45,304,312,311.7,21691068,67628.71,"ICICI"
2018-10-10,307.1,322.95,304.5,319,319.85,23972064,75831.82,"ICICI"
2018-10-09,311.45,311.9,303,304.95,306.25,14852835,45551.61,"ICICI"
2018-10-08,307.3,314.05,298.6,311.55,310.85,20488368,63025.82,"ICICI"
2018-10-05,314.65,321.85,299.35,304.5,307.3,36131946,113325.68,"ICICI"
2018-10-04,299,321.25,294.8,316,316.5,56268976,174990.84,"ICICI"
2018-10-03,311.1,314.5,302.45,304.5,303.7,19105555,58915.05,"ICICI"
2018-10-01,306.3,315.05,300.55,314.2,314,21104376,65070.69,"ICICI"
2018-09-28,309.1,311.6,301.8,306,305.55,26289107,80430.36,"ICICI"
2018-09-27,315.65,316,305.3,308.3,306.65,24888615,76647.32,"ICICI"
2018-09-26,315,315.3,305.1,312.9,313.1,23224979,72183.7,"ICICI"
