"Date","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)","bank_name"
2018-12-31,78.7,79.45,77.85,78.1,78.1,13924275,10922.9,"PNB"
2018-12-28,78,79,77.9,78.35,78.45,18081826,14192.42,"PNB"
2018-12-27,78.45,78.85,77.3,77.9,77.95,24709123,19258.78,"PNB"
2018-12-26,77,78.3,74.7,78.2,77.75,22820304,17398.95,"PNB"
2018-12-24,76.7,77.35,75.85,76.85,76.7,20719115,15879.93,"PNB"
2018-12-21,77.75,78.8,75.7,76.7,76.35,40025985,30802.85,"PNB"
2018-12-20,76.4,78.1,75.65,76.35,76.1,28834262,22191.21,"PNB"
2018-12-19,74.9,77.25,74.75,77,76.95,29772662,22756.59,"PNB"
2018-12-18,72.6,75.8,72.15,74.4,74.25,33486536,24945.75,"PNB"
2018-12-17,72.8,73.25,71.9,72.8,72.85,11039826,8024.17,"PNB"
2018-12-14,71,73.4,70.8,72.7,72.65,21183370,15377.07,"PNB"
2018-12-13,71.6,72.5,70.95,71.35,71.35,18076633,12955.59,"PNB"
2018-12-12,69.1,72,69.05,70.65,70.8,29040526,20529.48,"PNB"
2018-12-11,63.5,69.15,63.35,68.8,68.7,33859505,22676.3,"PNB"
2018-12-10,64.9,65.85,64,64.75,64.85,15452401,10030.39,"PNB"
2018-12-07,66.4,67,64.45,65.8,66,21210644,13994.12,"PNB"
2018-12-06,68.5,68.65,65.85,66,66.1,22242427,14880.69,"PNB"
2018-12-05,69.5,70.1,68.4,68.65,68.95,15370028,10651.44,"PNB"
2018-12-04,71.45,71.9,69.25,69.65,69.55,17168281,12124.71,"PNB"
2018-12-03,70,72,69.45,71.55,71.45,15579155,11020.14,"PNB"
2018-11-30,70,70.5,69,69.9,69.9,14026529,9777.73,"PNB"
2018-11-29,70.1,70.35,68.85,69.75,69.65,17242452,12008.8,"PNB"
2018-11-28,72.95,73,69.1,69.45,69.6,21486398,15262.43,"PNB"
2018-11-27,71.25,73.15,70.6,72.45,72.45,18202285,13061.23,"PNB"
2018-11-26,72.1,72.2,69.85,71.35,71.25,14534558,10316.67,"PNB"
2018-11-22,73,73.4,71.4,71.5,71.7,12316028,8922.19,"PNB"
2018-11-21,71.35,73,71,72.9,72.7,15213307,10978.3,"PNB"
2018-11-20,72.3,74.3,70.65,70.95,71.3,22772511,16600.82,"PNB"
2018-11-19,73.9,74.05,72.5,73.45,73.3,17064185,12519.44,"PNB"
2018-11-16,71.4,74.15,70.6,73.25,73.2,29393571,21269.21,"PNB"
2018-11-15,70.75,71.6,69.75,71.05,71.15,13633606,9669.86,"PNB"
2018-11-14,70.5,72.05,70.1,70.65,70.75,19262384,13686.15,"PNB"
2018-11-13,68.5,70.3,68.45,69.95,70,16257056,11309,"PNB"
2018-11-12,72,72.1,69.7,70.35,70.5,15610896,11018.1,"PNB"
2018-11-09,71,72.4,70.2,71.6,71.65,16410330,11757.22,"PNB"
2018-11-07,71,71.2,70.6,71,70.95,2459502,1744.25,"PNB"
2018-11-06,71.2,71.55,69.9,70.3,70.6,18682517,13221.57,"PNB"
2018-11-05,68.7,70.95,67.4,70.8,70.4,33569269,23227.73,"PNB"
2018-11-02,74.95,78.7,68.05,68.95,69.05,91979581,66991.95,"PNB"
2018-11-01,74.4,75,73.2,74.3,74.3,21269555,15766.14,"PNB"
2018-10-31,73.8,74.25,71.7,73.6,73.65,28632204,20935.59,"PNB"
2018-10-30,71,75.25,70.75,72.85,72.55,43626784,31919.78,"PNB"
2018-10-29,66.85,71.8,65.6,70.75,70.9,36931154,25699.57,"PNB"
2018-10-26,66,67.25,65.25,66.3,66.15,20915568,13860.48,"PNB"
2018-10-25,65.2,66.7,65,65.75,65.65,23250113,15292.21,"PNB"
2018-10-24,65.8,66.35,64.6,66.3,65.8,17199693,11242.29,"PNB"
2018-10-23,65.45,66.25,63.85,65.15,64.75,16070344,10440.79,"PNB"
2018-10-22,66.9,67.45,65.4,65.8,65.7,16020570,10639.35,"PNB"
2018-10-19,66.2,67.4,65.25,66.15,66,18158920,12055.19,"PNB"
2018-10-17,71,71.15,66.1,66.3,66.5,24801387,16989.75,"PNB"
2018-10-16,68.2,70.35,67.85,69.9,69.95,21972857,15202.91,"PNB"
2018-10-15,67,67.95,65.35,67.55,67.55,21390663,14354.87,"PNB"
2018-10-12,65.1,67.65,65.05,66.5,66.5,22188888,14779.47,"PNB"
2018-10-11,64,66,63.1,64.35,64.3,27655306,17818.26,"PNB"
2018-10-10,62.8,66.95,62.3,66.5,66.3,30162010,19551.34,"PNB"
2018-10-09,63.45,63.9,61.5,62.8,62.65,24773210,15524.7,"PNB"
2018-10-08,64,64.6,61.1,62.7,62.85,29733364,18803.55,"PNB"
2018-10-05,65,66.35,63,63.25,63.85,31872123,20648.25,"PNB"
2018-10-04,63.15,65.5,62.85,64.5,64.8,32208001,20787.47,"PNB"
2018-10-03,63.8,66.35,62.7,64.4,64.65,42231670,27393.35,"PNB"
2018-10-01,60,63.55,58.55,63.3,63.2,39640035,24294.08,"PNB"
2018-09-28,62.55,63.4,58.45,59.75,59.7,68264539,41455.92,"PNB"
2018-09-27,67.7,67.7,61.25,61.85,62.5,47047470,30411.72,"PNB"
2018-09-26,68.15,69.2,66.25,66.9,67.05,43152887,29136.69,"PNB"
2018-09-25,69.15,69.65,63.65,67.45,66.95,58214340,38969.95,"PNB"
2018-09-24,74,74.4,68.65,68.8,69.2,37491629,26471.53,"PNB"
2018-09-21,79.55,80.35,67.4,73.2,72.85,50163352,37636.44,"PNB"
2018-09-19,79.5,80.75,78.7,79.25,79.25,24270870,19378.53,"PNB"
2018-09-18,82.2,82.6,78.6,79.35,79.3,37211584,29905.14,"PNB"
2018-09-17,82.4,84.05,81,82.9,83,26030699,21492.44,"PNB"
2018-09-14,82.7,83.3,82.05,82.9,82.8,20505103,16936.6,"PNB"
2018-09-12,81.8,82.35,79.2,81,81.15,35789023,28881.96,"PNB"
2018-09-11,83.8,84.5,81.4,81.6,81.7,27909748,23241.84,"PNB"
2018-09-10,83.75,85,82,82.7,82.7,21243030,17725.18,"PNB"
2018-09-07,83.35,84.65,82.45,84.2,84.4,19594125,16411.67,"PNB"
2018-09-06,84,84.7,82.85,83.2,83.25,25079939,20968.53,"PNB"
2018-09-05,83.2,83.85,81.4,83.15,83.1,21704587,17940.75,"PNB"
2018-09-04,86.4,86.85,82.85,83.3,83.15,25579702,21670.04,"PNB"
2018-09-03,88.3,89.3,86,86,86.35,30610408,26953.46,"PNB"
2018-08-31,84.5,88.45,83.65,88,88.15,45793988,39491.4,"PNB"
2018-08-30,84.1,85.9,83.6,84.75,85.1,40695329,34568.22,"PNB"
2018-08-29,83.4,84.8,82.9,83.9,84.15,23031862,19350.5,"PNB"
2018-08-28,85.5,85.8,82.5,82.9,82.9,24887374,20814.88,"PNB"
2018-08-27,86.5,87.15,85,85.1,85.25,25336814,21840.25,"PNB"
2018-08-24,85.2,87.9,85.05,85.6,85.8,62911086,54396.38,"PNB"
2018-08-23,83.7,85.95,82,85.85,84.5,26998678,22508.7,"PNB"
2018-08-21,84.25,84.9,83.25,83.6,83.65,16719748,14030.39,"PNB"
2018-08-20,84,84.9,82.8,83.65,84.2,25753772,21592.8,"PNB"
2018-08-17,82.5,83.9,82.3,83.45,83.45,25610532,21286.36,"PNB"
2018-08-16,79.15,82.75,78.65,82.05,81.55,39893139,32448.24,"PNB"
2018-08-14,81,81.85,79.5,79.75,79.9,20667786,16647.66,"PNB"
2018-08-13,82.5,82.65,79.6,80.7,80.4,30972235,25223.42,"PNB"
2018-08-10,83.95,84.75,82.6,83,83.25,51034567,42721.82,"PNB"
2018-08-09,81.7,83.85,81.15,83.5,83.4,45391038,37559.85,"PNB"
2018-08-08,83.45,83.6,80.05,80.35,80.45,60658357,49758.9,"PNB"
