"Date","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)","bank_name"
2018-12-31,297.2,298.25,295.5,295.65,295.9,9526067,28244.43,"SBI"
2018-12-28,293.6,297.1,293.55,294.45,294.8,12876558,38041.1,"SBI"
2018-12-27,296.7,297.6,291.5,293.3,292.15,15304564,45000.7,"SBI"
2018-12-26,292.85,295,287.15,294.55,294.15,12684324,36894.54,"SBI"
2018-12-24,293.5,295,290.15,293.5,293.05,12048877,35254.92,"SBI"
2018-12-21,293.65,296.5,290.8,292,291.9,15777301,46262.86,"SBI"
2018-12-20,298.35,301.65,293.15,294,294.05,19222232,57239.61,"SBI"
2018-12-19,294.7,302,294.7,299.5,300.7,26124125,78168.99,"SBI"
2018-12-18,287.85,294,287,293.9,292.75,13606582,39525,"SBI"
2018-12-17,289.3,291.45,287.3,290.25,289.5,12728014,36824.77,"SBI"
2018-12-14,288.5,290.8,287.05,288.7,289.2,12156361,35117.08,"SBI"
2018-12-13,290,294,285.75,288.85,289,24097152,69971.28,"SBI"
2018-12-12,283.75,285.85,282.2,285.3,285.25,21765939,61877.07,"SBI"
2018-12-11,268.35,283.25,268.35,281.75,281.25,30927239,85956.45,"SBI"
2018-12-10,271,276.4,270.15,274.35,274.2,11947887,32708.65,"SBI"
2018-12-07,277,277.35,272.1,276,275.4,10165275,27937.43,"SBI"
2018-12-06,278,279.25,275.1,275.6,275.65,11083451,30645.69,"SBI"
2018-12-05,282.45,283.2,277.05,280.2,280.15,14893748,41870.62,"SBI"
2018-12-04,287.95,287.95,281.9,282.6,282.55,11897307,33870.7,"SBI"
2018-12-03,286.7,287.9,283.25,287.1,286.8,15772176,45057.44,"SBI"
2018-11-30,288.8,290.9,283.2,284.05,284.65,17583510,50379.67,"SBI"
2018-11-29,289.3,289.65,284.25,288,286.4,27919104,80152.09,"SBI"
2018-11-28,289.4,292.45,283,284,284.55,19837609,57279.89,"SBI"
2018-11-27,284.6,290.5,284.05,289,289.4,21242956,61156.7,"SBI"
2018-11-26,284.1,287.25,279.6,286.5,286.4,16846820,47755.8,"SBI"
2018-11-22,285.95,287.05,281.6,282.65,282.7,12066797,34309.76,"SBI"
2018-11-21,283.45,289.55,283.05,286.5,287.05,16167419,46358.88,"SBI"
2018-11-20,285.9,288.55,282.5,282.6,283.45,12900924,36785.79,"SBI"
2018-11-19,293.5,293.5,286.05,288.05,288.15,13799970,39857.56,"SBI"
2018-11-16,285.9,291.8,282.6,291.55,290.9,24805910,71425.11,"SBI"
2018-11-15,283.85,287.05,281.15,285,285.4,18445463,52452.58,"SBI"
2018-11-14,280.4,287.7,278,283.05,283.6,52674807,148804.76,"SBI"
2018-11-13,276.3,279.7,273.35,279.4,278.05,25633628,70807.64,"SBI"
2018-11-12,283.7,283.7,276.85,277.2,277.95,24044907,67263.49,"SBI"
2018-11-09,287,287.5,282.45,283.1,283.25,19201007,54642.41,"SBI"
2018-11-07,288.9,288.9,285.95,287,286.55,3312160,9496.39,"SBI"
2018-11-06,296.1,298.3,283.9,285.25,286.45,40688243,117823.9,"SBI"
2018-11-05,286.45,300,283.5,296.1,294.95,44619891,130291.93,"SBI"
2018-11-02,287.9,292.8,283.2,285.55,285.35,27760214,80122.23,"SBI"
2018-11-01,283,289,278.85,285.65,285.9,29144808,83066.96,"SBI"
2018-10-31,275,282.75,268.6,280.75,281.4,28137370,77622.68,"SBI"
2018-10-30,267.5,279.1,266,273.9,273.15,33401683,91734.95,"SBI"
2018-10-29,250,269.25,248.4,267.5,267.9,37768359,98994.45,"SBI"
2018-10-26,252,252.5,247.4,247.9,248.1,20543437,51372.1,"SBI"
2018-10-25,254.5,255,248.4,250.65,249.55,33066232,82788.23,"SBI"
2018-10-24,260.25,261.8,252.8,255.9,255.7,25636533,65988.34,"SBI"
2018-10-23,258,259,255,255.9,255.65,20206307,51896.77,"SBI"
2018-10-22,266,266,259.45,260,260.35,19933462,52431.82,"SBI"
2018-10-19,259.7,264.2,258.1,261.15,261.1,28474307,74220.11,"SBI"
2018-10-17,273.75,275,260,261,261.15,21631573,57662.75,"SBI"
2018-10-16,264.6,270.85,263.35,270.35,270.3,33597068,90003.1,"SBI"
2018-10-15,264.4,265.7,261.1,263.15,263.2,21965859,57750.47,"SBI"
2018-10-12,266,267.9,261.5,263.7,263.75,42967696,113890.45,"SBI"
2018-10-11,268,271.5,260.6,261.7,262.15,46291120,122110.96,"SBI"
2018-10-10,261.6,280.45,261.2,277.3,278.65,31772330,86233.29,"SBI"
2018-10-09,268,268.15,260,262.75,262.95,16010883,42197.89,"SBI"
2018-10-08,259.75,268.5,258.35,266,265.75,21100804,55346.52,"SBI"
2018-10-05,271,271,256,258.3,258.35,36628643,96902.54,"SBI"
2018-10-04,267.95,272.7,265.7,269.4,271.35,17754204,47844.67,"SBI"
2018-10-03,273.35,278.7,270.6,271.5,271.7,19714943,54027.57,"SBI"
2018-10-01,265.5,275.2,264.1,274.1,273.85,17711738,47617.98,"SBI"
2018-09-28,266.4,273.5,262.5,265.5,265.5,33803139,90657.97,"SBI"
2018-09-27,264.5,268.6,263.75,265.5,265.35,24829383,66121.25,"SBI"
2018-09-26,274,274,262.75,263,263.85,23951904,63813.36,"SBI"
2018-09-25,264,272.95,260.8,272.5,270.9,28948831,76871.99,"SBI"
2018-09-24,272.7,273,262.6,263.35,264.35,24633374,65658.08,"SBI"
2018-09-21,274.2,279.45,253.4,270.45,270.6,39308482,107019.51,"SBI"
2018-09-19,275.4,282.85,270.5,271.15,271.5,40759431,111494.66,"SBI"
2018-09-18,285,286.9,272.4,273.6,273.8,33901000,94012.2,"SBI"
2018-09-17,288.5,288.5,284.1,285.1,285.3,16089996,45974.26,"SBI"
2018-09-14,290.1,291.8,288.7,290.65,290.65,15149585,43978.39,"SBI"
2018-09-12,284,286.7,280,285.85,285.3,22717796,64431.65,"SBI"
2018-09-11,287.35,291.45,281.65,282,282.6,28361400,81437.74,"SBI"
2018-09-10,290.65,293.25,283.8,284.5,284.85,23354395,67237.43,"SBI"
2018-09-07,295.9,295.9,289.45,291.1,291.65,23716678,69192.85,"SBI"
2018-09-06,298,299.85,294.5,294.9,296.45,18001336,53526.03,"SBI"
2018-09-05,296.5,298.85,290.4,296.9,296.55,22922686,67664.03,"SBI"
2018-09-04,306.8,307.45,295.45,296.25,296.4,42859084,129917.66,"SBI"
2018-09-03,312.5,312.5,304.8,305.65,306.35,14708076,45609.45,"SBI"
2018-08-31,307.9,310.65,304.55,310.3,309.6,18100140,55720.63,"SBI"
2018-08-30,309.3,310.5,306,308.9,308.6,19935935,61392.14,"SBI"
2018-08-29,306.8,312,305.75,309.85,309.7,24320824,75306.8,"SBI"
2018-08-28,308.05,310.25,303.4,305.8,305.35,16890236,51643.54,"SBI"
2018-08-27,304,310.35,303.3,306.95,308,28111768,86562.83,"SBI"
2018-08-24,300.6,305.7,299,300.6,300.45,18869585,56906.66,"SBI"
2018-08-23,306.95,306.95,298.3,302.45,302.45,22721004,68675.74,"SBI"
2018-08-21,308.3,308.85,303.35,307.1,307,14139592,43217.29,"SBI"
2018-08-20,304.1,308.7,303.6,307.6,307.65,20240462,61944.34,"SBI"
2018-08-17,295,302.7,294.05,302.2,302.1,21931134,65466.43,"SBI"
2018-08-16,293.5,298.4,290.25,293,292.7,31083900,91452.53,"SBI"
2018-08-14,296.7,298.95,293.35,295,294.9,25294933,74834.94,"SBI"
2018-08-13,296,302.8,291.1,296.7,294.15,58127432,172030.92,"SBI"
2018-08-10,317.65,326.4,300.5,302.7,304.45,111510771,349358.78,"SBI"
2018-08-09,312.95,319.85,310.15,317.65,317.4,46464355,146942.57,"SBI"
2018-08-08,304.05,310.9,303.05,309.85,308.7,20498279,62893.45,"SBI"
2018-08-07,309.85,311.7,303.05,303.9,304.05,23929123,73335.37,"SBI"
2018-08-06,300.6,311.35,300.6,308.9,308.5,31576923,97106.79,"SBI"
2018-08-03,294.6,299.95,294.5,299.9,299.25,18254462,54271.29,"SBI"
2018-08-02,293,296.4,290.55,294,293.9,15665209,46058.48,"SBI"
2018-08-01,294.5,298,288.35,294.3,295.1,33885474,99267.44,"SBI"
2018-07-31,297,302.4,291.8,293.6,293.5,36510328,108133.12,"SBI"
2018-07-30,289.2,299.55,289.2,296.5,297.4,40949610,121483.59,"SBI"
2018-07-27,289.5,297,285.1,286.55,286.75,32175436,93455.52,"SBI"
2018-07-26,275.1,289.4,274.2,289.25,287.7,53496546,151471.6,"SBI"
2018-07-25,268,272.85,265.65,271.35,271.85,13099277,35252.04,"SBI"
2018-07-24,267.2,269.2,265.55,266.65,266.85,9320281,24926.36,"SBI"
2018-07-23,262,267.5,260.6,266.6,266.35,17013119,44861.11,"SBI"
2018-07-20,259.9,263,258.55,262.7,261.5,6120163,15990.88,"SBI"
2018-07-19,259.4,263.5,256.2,260.3,260.2,9958284,25957.83,"SBI"
2018-07-18,260.1,262.5,256.15,260.5,259.55,17641125,45710.16,"SBI"
2018-07-17,250.7,259.85,250.45,258.95,259.05,16067598,40945.94,"SBI"
2018-07-16,257,257.5,251,251.1,251.6,8965623,22712.51,"SBI"
2018-07-13,262.1,262.4,256.8,257.35,257.75,11976239,30930.17,"SBI"
2018-07-12,261.4,264.5,261.15,262,262.75,10642215,27996.96,"SBI"
2018-07-11,262.65,262.65,257.9,259.05,259.1,12857179,33387.76,"SBI"
2018-07-10,263.85,265.75,262.4,263.2,263.75,11487165,30372.46,"SBI"
2018-07-09,258.2,262.4,257.95,261.35,261.55,13220744,34461.89,"SBI"
2018-07-06,256.1,260.8,255.55,256.55,257.2,16174019,41775.94,"SBI"
2018-07-05,257.9,258.7,255.15,256.6,256.45,11215032,28820.6,"SBI"
2018-07-04,255.75,258.35,254.5,257.4,257.45,14206935,36463.28,"SBI"
2018-07-03,259.6,260.9,256.4,258,257.5,16099030,41546.24,"SBI"
2018-07-02,258.95,261.75,254,260,258.85,21896701,56410.44,"SBI"
2018-06-29,258.25,263.45,258.2,259.2,259.35,16244724,42384.79,"SBI"
2018-06-28,260.4,262,255.7,257.6,257,21349738,55119.36,"SBI"
2018-06-27,267.35,267.35,261,261.05,261.7,16277655,42904.54,"SBI"
2018-06-26,267.25,271.2,265.4,267,267.4,16867009,45249.35,"SBI"
2018-06-25,271.85,273.15,267.2,268.5,268.45,10934401,29555.98,"SBI"
2018-06-22,269,273.7,265.75,273,273.05,20784133,56144.21,"SBI"
2018-06-21,274.75,274.75,268.1,268.8,268.65,12954943,35054.5,"SBI"
2018-06-20,273.2,274.75,271.1,273.2,273.3,14002946,38227.59,"SBI"
2018-06-19,276,276.7,269.75,272.5,272.6,20726975,56594.93,"SBI"
2018-06-18,278,279.75,275.45,276.6,276.85,13542420,37518.02,"SBI"
2018-06-15,282.75,283.45,276.6,277.85,277.45,16949917,47329.05,"SBI"
2018-06-14,286.55,286.55,281.3,282.85,282.6,18513730,52387.99,"SBI"
2018-06-13,284,289.65,283.65,287.3,287.7,26748300,76834.32,"SBI"
2018-06-12,274,284.4,274,284,282.85,31358021,87549.13,"SBI"
2018-06-11,273.3,278.4,273.15,273.6,274,18219428,50353.05,"SBI"
2018-06-08,268.95,273.9,267,273,273,14096549,38131.13,"SBI"
2018-06-07,271.05,272.9,268.4,269.55,269.65,18773700,50853.16,"SBI"
2018-06-06,263,271.4,262.2,270.25,270.15,18315171,48976.57,"SBI"
2018-06-05,260.9,265.25,260.9,263.25,263.55,14102731,37157.2,"SBI"
2018-06-04,268,268.35,261.3,263.2,263,12933824,34195.02,"SBI"
2018-06-01,269.25,269.8,264.6,267,266.7,16574717,44196.9,"SBI"
2018-05-31,266.85,274.8,263.15,270,269.55,31935892,85519.1,"SBI"
2018-05-30,260.5,268,259.95,266.95,267.15,19320209,51067.85,"SBI"
2018-05-29,270.5,270.95,262.8,263.65,264.3,16107543,42862.44,"SBI"
2018-05-28,267.4,274.2,266.05,271.95,272.05,18959368,51348.8,"SBI"
2018-05-25,267.8,268.4,262.55,267,266.95,22317308,59198.49,"SBI"
2018-05-24,263.85,269.7,260.65,268.8,268.5,34679642,92305.56,"SBI"
2018-05-23,254.65,269.75,254.3,263.45,263.2,71202072,188862.92,"SBI"
2018-05-22,243.65,259.7,241,255.7,253.9,68713602,172177.51,"SBI"
2018-05-21,243.55,245.75,240.3,244.5,244.45,18780730,45670.26,"SBI"
2018-05-18,243,244,237.85,239.6,238.85,11873041,28529.24,"SBI"
2018-05-17,244.2,246,241.15,242.55,242.7,11721064,28611.08,"SBI"
2018-05-16,245.5,248.7,240.6,242.9,243.1,17222004,42055.92,"SBI"
2018-05-15,253,257.45,245.9,246.55,248,18026861,45538.28,"SBI"
2018-05-14,249.95,255.8,248.15,252.4,253.6,18673849,47351.32,"SBI"
2018-05-11,247.6,251.6,246.05,250.8,250.35,11958589,29736.25,"SBI"
2018-05-10,248.25,250.2,246.3,247.1,247.95,13160967,32637.22,"SBI"
2018-05-09,249.8,249.8,246.3,248.1,248,11429823,28326.3,"SBI"
2018-05-08,248,252.6,244.6,250.3,250.05,23293920,58060.01,"SBI"
2018-05-07,242.45,248.2,242.05,247.2,246.5,15122614,37139.35,"SBI"
2018-05-04,243.5,243.9,240.35,241.75,241.95,12777310,30940.83,"SBI"
2018-05-03,240.95,243.4,238.75,241.6,241.9,12939642,31211.37,"SBI"
2018-05-02,245.9,246.3,239.75,241.2,241,12887066,31197.04,"SBI"
2018-04-30,244.8,249.7,244.5,246.05,246.4,17263193,42658.23,"SBI"
2018-04-27,233.25,245.8,233.25,243.2,242.6,31401889,76137.75,"SBI"
2018-04-26,238.4,238.8,232.5,233.25,233.2,24495144,57497.36,"SBI"
2018-04-25,239.7,240.75,236.75,237.5,237.2,13124853,31340.17,"SBI"
2018-04-24,242,243.4,239.6,240.7,240.6,9486349,22892.53,"SBI"
2018-04-23,241.9,244.85,239.3,242.4,242.45,12111837,29377.74,"SBI"
2018-04-20,245.85,245.85,239.5,241.85,241.2,15546939,37554.99,"SBI"
2018-04-19,247.1,248.45,245.2,246.7,246.15,13166927,32479.07,"SBI"
2018-04-18,249.5,249.9,245.3,247,246.45,16142387,39979.87,"SBI"
2018-04-17,251.4,252.5,246.6,248.15,248.15,15922452,39726.1,"SBI"
2018-04-16,249.35,251.3,247.1,249,249,16408377,40875.03,"SBI"
2018-04-13,254,255.95,249.7,250.8,250.95,25654020,64794.17,"SBI"
2018-04-12,257.5,257.5,252.25,253.9,253.8,18660913,47436.66,"SBI"
2018-04-11,263,263,256.3,257.4,257.05,14885838,38454.81,"SBI"
2018-04-10,261.1,265,258.5,263.15,263.3,21201141,55467.37,"SBI"
2018-04-09,260.65,262.75,257.6,259.85,260.65,20208874,52692.69,"SBI"
2018-04-06,259.65,261.45,254.85,258.75,259.7,24868860,64256.23,"SBI"
2018-04-05,252.6,261.9,250,260.8,259.3,22880821,58345.36,"SBI"
2018-04-04,251.7,253,245.5,246.7,247.3,18824449,46934.72,"SBI"
2018-04-03,249.55,252.8,248.25,250.95,250.5,19883309,49777.77,"SBI"
2018-04-02,251.8,252,244.9,246,246.15,14993188,37065.22,"SBI"
2018-03-28,252,256.2,248.7,249.25,249.9,36673566,92275.5,"SBI"
2018-03-27,250,255.5,248,253.4,254.35,31205051,78651.11,"SBI"
2018-03-26,234.75,247.85,234.25,247.2,246.5,30373940,73410.1,"SBI"
2018-03-23,237.8,239.65,232.35,234.7,234.8,27150262,63741.14,"SBI"
2018-03-22,247,247.35,240.65,241.5,241.55,26828240,65318.3,"SBI"
2018-03-21,251.75,254.3,247.1,247.45,248,19533972,49069.86,"SBI"
2018-03-20,246.85,252.25,245.35,250,249.1,20556571,51273.56,"SBI"
2018-03-19,252.9,253.6,246.1,247.9,247.95,18167594,45200.36,"SBI"
2018-03-16,250.65,255.7,250.1,252.7,252.3,25728297,65135.84,"SBI"
2018-03-15,257,258.8,252.55,253.25,253.7,18339890,46882.77,"SBI"
2018-03-14,252.5,257.85,250,257.8,257.05,25471485,64637.47,"SBI"
2018-03-13,251.3,262.4,249.6,254.1,254.7,37647221,96792.84,"SBI"
2018-03-12,254.1,255.25,247.25,253.55,252.85,25332474,63398.1,"SBI"
2018-03-09,257,257.4,251.65,253.65,253.25,21536191,54678.77,"SBI"
2018-03-08,247,257.95,244.3,256.65,256.8,33133336,83324.37,"SBI"
2018-03-07,255.05,255.35,246.05,246.7,246.65,31262500,77832.71,"SBI"
2018-03-06,265.85,266,255,255.35,256.55,20778164,54319.96,"SBI"
2018-03-05,260.45,265,258.75,263.15,263.5,18484565,48522.94,"SBI"
2018-03-01,266.3,270,261.25,262.2,262.15,22859175,60490.17,"SBI"
2018-02-28,264.25,269.7,260.8,267.95,268,26810799,71353.36,"SBI"
2018-02-27,273,275.9,265.95,267.7,267.6,20824909,56133.62,"SBI"
2018-02-26,280,280,273.85,274.3,274.45,15306032,42205.75,"SBI"
